station_id,lat,lon
MDDELCC-0707020,49.28337097,-69.54940033
MDDELCC-0711002,49.13333893,-68.19999695
MDDELCC-0711090,52.65008163,-69.91602325
MDDELCC-0722010,50.21667099,-66.26667023
MDDELCC-0735010,50.68333054,-64.58334351
MDDELCC-0749100,50.18333054,-61.81666946
MDDELCC-0768010,51.45000076,-57.18333054
MDDELCC-0801002,48.18333054,-78.33334351
MDDELCC-0801005,48.04999924,-77.78333282
MDDELCC-0801050,49.95428848,-78.81880188
MDDELCC-0801060,49.98332977,-79.08334351
MDDELCC-0807100,49.76667023,-77.80000305
MDDELCC-0807120,49.81674957,-74.41622925
MDDELCC-0807125,49.76667023,-74.53333282
MDDELCC-0808005,50.75,-76.3833313
MDDELCC-0808010,50.28342056,-76.76634216
MDDELCC-0810020,51.53332901,-78.09999847
MDDELCC-0810100,51.10009003,-75.46627808
MDDELCC-0810125,51.08332825,-72.8833313
MDDELCC-0810150,51.23340988,-72.66616058
MDDELCC-0906010,52.2334404,-78.51641083
MDDELCC-0906050,52.66677856,-76.09963226
MDDELCC-0917010,52.95011902,-78.93309784
MDDELCC-0927002,53.63346863,-77.69970703
MDDELCC-0927004,53.75,-73.66665649
MDDELCC-0927009,53.59999847,-71.19999695
MDDELCC-0927010,53.20009995,-70.89939117
MDDELCC-0927045,54.03345871,-73.3494873
MDDELCC-0927065,54.25,-76.16665649
MDDELCC-0938011,55.03332901,-73.3666687
MDDELCC-0938020,54.95014954,-76.86631775
MDDELCC-0938021,55,-77.06667328
MDDELCC-0938030,55.28332901,-77.76667023
MDDELCC-0942020,55.68333054,-74.33334351
MDDELCC-0942030,55.66682053,-74.36618042
MDDELCC-0943010,56.07490158,-76.21630096
MDDELCC-0943020,56.21667099,-74.83334351
MDDELCC-0950010,56.46667099,-74.23332977
MDDELCC-0961010,58.45000076,-78.1166687
MDDELCC-1000010,61.04999924,-69.62650299
MDDELCC-1034010,58.09999847,-68.41665649
MDDELCC-1036110,56.75017166,-72.74942017
MDDELCC-1037010,54.79999924,-66.81667328
MDDELCC-1037041,54.08345032,-69.98267365
MDDELCC-1037042,53.93342972,-68.94930267
MDDELCC-1037050,56.65000153,-68.56667328
MDDELCC-1037110,56.83346939,-68.94927216
MDDELCC-1037510,56.383461,-70.03266144
MDDELCC-1037710,54.46677017,-68.03259277
MDDELCC-1048020,56.79999924,-64.91665649
ONR-0101,46.16641617,-78.91666412
ONR-0201,46.40000153,-79.40000153
ONR-0266,47.46640015,-79.9332962
ONR-0294,47.1330986,-79.48329926
ONR-0501,44.40000153,-80.83333588
ONR-0601,44.86666489,-81.16666412
ONR-0602,44.73333359,-81.19999695
ONR-0608,44.86666489,-81.16666412
ONR-1104,44.5,-76.06666565
ONR-1105,44.51666641,-76.09999847
ONR-1201,43.79999924,-80.01667023
ONR-1202,43.93333435,-80.09999847
ONR-1204,43.79999924,-80.16666412
ONR-1205,43.63333511,-79.73332977
ONR-1207,43.79999924,-80
ONR-1301,44.98333359,-77.96666718
ONR-1302,44.84999847,-77.8833313
ONR-1303,44.5,-77.80000305
ONR-1304,44.51666641,-77.91666412
ONR-1701,46.53333282,-84.34999847
ONR-1702,46.54999924,-84.34999847
ONR-1802,46.56666565,-84.28333282
ONR-1901,46.56666565,-84.40000153
ONR-1903,46.54999924,-84.3666687
ONR-1904,46.53333282,-84.40000153
ONR-2104,44.06666565,-79.28333282
ONR-2302,43.91666794,-79.69999695
